38531.48,,2009,6,29,11,31
38561.01059,,2009,7,29,0,15
38590.54118,,2009,8,27,12,59
38620.07176,,2009,9,26,1,43
38649.60235,,2009,10,25,14,27
38679.13294,,2009,11,24,3,11
38708.66353,,2009,12,23,15,55
38738.19412,,2010,1,22,4,39
38767.7247,,2010,2,20,17,23
38797.25529,,2010,3,22,6,7
38826.78588,,2010,4,20,18,51
38856.31647,,2010,5,20,7,35
38885.84706,,2010,6,18,20,19
38915.37764,,2010,7,18,9,3
38944.90823,,2010,8,16,21,47
38974.43882,,2010,9,15,10,31
39003.96941,,2010,10,14,23,15
39033.5,,2010,11,13,12,0
39063.03058,,2010,12,13,0,44
39092.56117,,2011,1,11,13,28
39122.09176,,2011,2,10,2,12
39151.62235,,2011,3,11,14,56
39181.15294,,2011,4,10,3,40
39210.68352,,2011,5,9,16,24
39240.21411,,2011,6,8,5,8
39269.7447,,2011,7,7,17,52
39299.27529,,2011,8,6,6,36
39328.80588,,2011,9,4,19,20
39358.33646,,2011,10,4,8,4
39387.86705,,2011,11,2,20,48
39417.39764,,2011,12,2,9,32
39446.92823,,2011,12,31,22,16
39476.45882,,2012,1,30,11,0
39505.9894,,2012,2,28,23,44
39535.51999,,2012,3,29,12,28
39565.05058,,2012,4,28,1,12
39594.58117,,2012,5,27,13,56
39624.11176,,2012,6,26,2,40
39653.64234,,2012,7,25,15,24
39683.17293,,2012,8,24,4,9
39712.70352,,2012,9,22,16,53
39742.23411,,2012,10,22,5,37
39771.7647,,2012,11,20,18,21
39801.29528,,2012,12,20,7,5
39830.82587,,2013,1,18,19,49
39860.35646,,2013,2,17,8,33
39889.88705,,2013,3,18,21,17
39919.41764,,2013,4,17,10,1
39948.94822,,2013,5,16,22,45
39978.47881,,2013,6,15,11,29
40008.0094,,2013,7,15,0,13
40037.53999,,2013,8,13,12,57
40067.07058,,2013,9,12,1,41
40096.60116,,2013,10,11,14,25
40126.13175,,2013,11,10,3,9
40155.66234,,2013,12,9,15,53
40185.19293,,2014,1,8,4,37
40214.72352,,2014,2,6,17,21
40244.2541,,2014,3,8,6,5
40273.78469,,2014,4,6,18,49
40303.31528,,2014,5,6,7,34
40332.84587,,2014,6,4,20,18
40362.37646,,2014,7,4,9,2
40391.90704,,2014,8,2,21,46
40421.43763,,2014,9,1,10,30
40450.96822,,2014,9,30,23,14
40480.49881,,2014,10,30,11,58
40510.0294,,2014,11,29,0,42
40539.55998,,2014,12,28,13,26
40569.09057,,2015,1,27,2,10
40598.62116,,2015,2,25,14,54
40628.15175,,2015,3,27,3,38
40657.68234,,2015,4,25,16,22
40687.21292,,2015,5,25,5,6
40716.74351,,2015,6,23,17,50
40746.2741,,2015,7,23,6,34
40775.80469,,2015,8,21,19,18
40805.33528,,2015,9,20,8,2
40834.86586,,2015,10,19,20,46
40864.39645,,2015,11,18,9,30
40893.92704,,2015,12,17,22,14
40923.45763,,2016,1,16,10,58
40952.98822,,2016,2,14,23,43
40982.5188,,2016,3,15,12,27
41012.04939,,2016,4,14,1,11
41041.57998,,2016,5,13,13,55
41071.11057,,2016,6,12,2,39
41100.64116,,2016,7,11,15,23
41130.17174,,2016,8,10,4,7
41159.70233,,2016,9,8,16,51
41189.23292,,2016,10,8,5,35
41218.76351,,2016,11,6,18,19
41248.2941,,2016,12,6,7,3
41277.82468,,2017,1,4,19,47
41307.35527,,2017,2,3,8,31
41336.88586,,2017,3,4,21,15
41366.41645,,2017,4,3,9,59
41395.94704,,2017,5,2,22,43
41425.47762,,2017,6,1,11,27
